key,0,1,2,3,4,5,6,7,8,9,10
#,Quest,,UITab,Category,,QuestRedoUISmall,QuestRedoUILarge,QuestRedoUIWide,ChapterName,ChapterPart,Transient
int32,Quest,uint32,QuestRedoChapterUITab,QuestRedoChapterUICategory,byte,Image,Image,Image,str,str,str
0,,0,"","",0,,,,"","",""
1,"The Ultimate Weapon",0,"Main Scenario","A Realm Reborn",1,"ui/icon/114000/114766.tex","ui/icon/114000/114166.tex","ui/icon/114000/114466.tex","A Realm Reborn - Part 1","Part 1","Eorzea─a realm embraced by gods and forged by heroes. It is here that one adventurer's journey begins. Though power, fame, and fortune all beckon, this intrepid soul is destined for greater things still. Guided by the Mothercrystal, they will walk the path of a hero─of a Warrior of Light..."
2,"The Ultimate Weapon",0,"Main Scenario","A Realm Reborn",2,"ui/icon/114000/114767.tex","ui/icon/114000/114167.tex","ui/icon/114000/114467.tex","A Realm Reborn - Part 2","Part 2","In the midst of touring the three city-states and witnessing the myriad problems besetting the realm, the adventurer has a chance encounter with a member of the enigmatic Scions of the Seventh Dawn. An invitation to their base of operations, the Waking Sands, promises to shed light upon the mystery of the Echo and more."
3,"The Ultimate Weapon",0,"Main Scenario","A Realm Reborn",3,"ui/icon/114000/114768.tex","ui/icon/114000/114168.tex","ui/icon/114000/114468.tex","A Realm Reborn - Part 3","Part 3","The adventurer's victory over Ifrit, the Lord of the Inferno, prompts comparisons to be made to the fabled Warrior of Light. Yet even as the feat draws the admiration of the masses, so too does it draw the ire of the shadowy Ascians. To what end these masked individuals scheme remains to be seen, the search for answers beginning with the one named Lahabrea."
4,"The Ultimate Weapon",0,"Main Scenario","A Realm Reborn",4,"ui/icon/114000/114769.tex","ui/icon/114000/114169.tex","ui/icon/114000/114469.tex","A Realm Reborn - Part 4","Part 4","With the hard-won aid of the Company of Heroes, the adventurer succeeds in vanquishing Titan, the Lord of Crags. And though she arrives too late to aid in the battle, Y'shtola chances to discover that the Garlean Empire is in league with the Ascians, an unsettling revelation that serves to compound the intrigue."
5,"Brave New Companions",0,"Main Scenario","A Realm Reborn",5,"ui/icon/114000/114770.tex","ui/icon/114000/114170.tex","ui/icon/114000/114470.tex","A Realm Reborn - Part 5","Part 5","At the end of a large-scale operation marshaling the combined might of the three city-states, the Warrior of Light emerges triumphant in the Praetorium. The Empire's stranglehold over the realm thus broken, the leaders of Eorzea declare that the Seventh Astral Era has dawned. But the celebration would prove short-lived, for there can be no light without shadow."
6,"Before the Dawn",0,"Main Scenario","A Realm Reborn",6,"ui/icon/114000/114771.tex","ui/icon/114000/114171.tex","ui/icon/114000/114471.tex","A Realm Reborn - Part 6","Part 6","The Seventh Astral Era is meant to be a time of peace, and yet Eorzea remains rife with turmoil; from rampaging primals to unruly refugees, myriad are the problems demanding urgent answers. In response, Alphinaud forms the Crystal Braves, an ambitious company that will serve the realm as a whole rather than any one nation."
7,"Heavensward",0,"Main Scenario","Heavensward",1,"ui/icon/114000/114701.tex","ui/icon/114000/114101.tex","ui/icon/114000/114401.tex","Heavensward - Part 1","Part 1","Owing to schemes in the shadows of Ul'dah, the Scions of the Seventh Dawn have been scattered, and the Warrior of Light has been forced to flee north. Though granted shelter by Lord Haurchefant, the heroes must press on to Ishgard. But what trials await in this reclusive nation, locked in a never-ending struggle with dragons?"
8,"Heavensward",0,"Main Scenario","Heavensward",2,"ui/icon/114000/114702.tex","ui/icon/114000/114102.tex","ui/icon/114000/114402.tex","Heavensward - Part 2","Part 2","Venturing deep into the domain of the dragons, the heroes come face-to-face with the great wyrm Hraesvelgr, from whom they learn the sordid truth of the Dragonsong War. Born of man's treachery was this bloody conflict, and by man's hand it must be ended. Thus does the Warrior of Light sally forth with Ishgard's greatest champion, the Azure Dragoon, on a mission to crush the serpent's head."
9,"Litany of Peace",0,"Main Scenario","Heavensward",3,"ui/icon/114000/114703.tex","ui/icon/114000/114103.tex","ui/icon/114000/114403.tex","Heavensward - Part 3","Part 3","Though it came at great cost, the heroes have triumphed over the archbishop on the floating continent of Azys Lla, thereby breaking the cycle of conflict between man and dragon. Yet a millennium of war is not soon ended, and in the wake of the Warrior of Light's return, the nation of Ishgard was left trembling, the faith of her people shaken to the very core."
10,"The Far Edge of Fate",0,"Main Scenario","Heavensward",4,"ui/icon/114000/114704.tex","ui/icon/114000/114104.tex","ui/icon/114000/114404.tex","Heavensward - Part 4","Part 4","After a thousand years of bloodshed and sorrow, the shade of Nidhogg, rage incarnate, fell at last to the Warrior of Light. So it was that the Dragonsong War drew to a close, and the survivors, bloodied but unbowed, could begin to pick up the pieces. A new day dawns in Ishgard, and her champions may rest easy─if only for a moment. For every ending marks a new beginning."
11,"Stormblood",0,"Main Scenario","Stormblood",1,"ui/icon/114000/114705.tex","ui/icon/114000/114105.tex","ui/icon/114000/114405.tex","Stormblood - Part 1","Part 1","With the vaunted Warrior of Light marching beside them, the men and women of the Eorzean Alliance prepare to liberate Ala Mhigo, a land conquered by the Garlean Empire twenty years ago. Meanwhile, in the Far East, the freedom fighters of the fallen nation of Doma struggle to rekindle the fires of hope in their countrymen."
12,"Stormblood",0,"Main Scenario","Stormblood",2,"ui/icon/114000/114706.tex","ui/icon/114000/114106.tex","ui/icon/114000/114406.tex","Stormblood - Part 2","Part 2","Making their way across the Ruby Sea, the heroes set foot upon the shores of Yanxia, a region which has languished under imperial rule for twenty-five long years. In order to wrest these troubled lands from the spiteful grip of the acting imperial viceroy of Doma, Yotsuyu, they set out for the boundless plains of the Azim Steppe, in search of the kingdom's rightful ruler."
13,"Emissary of the Dawn",0,"Main Scenario","Stormblood",3,"ui/icon/114000/114707.tex","ui/icon/114000/114107.tex","ui/icon/114000/114407.tex","Stormblood - Part 3","Part 3","The liberation of Ala Mhigo signals the end of an era of tyranny. Here, on the cusp of a new age of freedom, her people must decide how they will greet their future...and reconcile with their past. What path lies ahead for Lyse and her efforts to rebuild the nation? What choices plague Fordola from within her prison cell? And to where will Raubahn return, now that the dream for his homeland has at last become a reality?"
14,"A Requiem for Heroes",0,"Main Scenario","Stormblood",4,"ui/icon/114000/114708.tex","ui/icon/114000/114108.tex","ui/icon/114000/114408.tex","Stormblood - Part 4","Part 4","The shadow of mystery deepens as the man who wears Zenos's face continues to move unchecked, sowing the seeds of strife from the heart of the Empire. All indications point to Ascian machination, and the arrival of a messenger at the Rising Stones sets the Scions of the Seventh Dawn upon a path rife with peril, towards an unknowable destination."
15,"Shadowbringers",0,"Main Scenario","Shadowbringers",1,"ui/icon/114000/114709.tex","ui/icon/114000/114109.tex","ui/icon/114000/114409.tex","Shadowbringers - Part 1","Part 1","Ala Mhigo is at last free from imperial rule, but that liberty may prove fleeting as the Empire moves to both reclaim this bloodied nation and subjugate all of Eorzea. In their hour of need, however, they cannot turn to the Warrior of Light. Nor to the Scions, who yet slumber, their souls adrift. The realm is left to struggle without its saviors, for they have been beckoned beyond time and space─beckoned to the First."
16,"Shadowbringers",0,"Main Scenario","Shadowbringers",2,"ui/icon/114000/114710.tex","ui/icon/114000/114110.tex","ui/icon/114000/114410.tex","Shadowbringers - Part 2","Part 2","Though the Warriors of Darkness have succeeded in restoring the night to the Rak'tika Greatwood, much of Norvrandt yet remains shrouded in primordial Light, its denizens at the mercy of the abominations known as sin eaters. Burdened by the unsettling truths revealed to them by the Ascian Emet-Selch, the heroes forge on along their chosen path─the path of villainy."
17,"Alisaie's Path",0,"Chronicles of a New Era","Raids",1,"ui/icon/114000/114711.tex","ui/icon/114000/114111.tex","ui/icon/114000/114411.tex","The Binding Coil of Bahamut","","Ripped from the heavens by the nefarious designs of Nael van Darnus, the false moon Dalamud hurtled into Vylbrand, its shattering impact forming a network of labyrinthine caverns beneath the surface. Braving dangers untold, the Warrior of Light plumbs the subterranean depths, that the truth behind the Seventh Umbral Calamity may be unearthed."
