key,0,1,2,3
#,,Icon1,Icon2,Text
int32,byte,Image,Image,str
0,0,,,""
1,1,"ui/icon/114000/114003.tex","ui/icon/114000/114053.tex","Main Scenario"
2,3,"ui/icon/114000/114004.tex","ui/icon/114000/114054.tex","Side Story"
3,2,"ui/icon/114000/114006.tex","ui/icon/114000/114056.tex","Chronicles of a New Era"
4,4,"ui/icon/114000/114007.tex","ui/icon/114000/114057.tex","Tank Quests"
5,6,"ui/icon/114000/114009.tex","ui/icon/114000/114059.tex","DPS Quests"
6,5,"ui/icon/114000/114008.tex","ui/icon/114000/114058.tex","Healer Quests"
7,7,"ui/icon/114000/114010.tex","ui/icon/114000/114060.tex","Crafter Quests"
8,8,"ui/icon/114000/114011.tex","ui/icon/114000/114061.tex","Gatherer Quests"
