key,0,1,2
#,BNpcName,ClassJob,
int32,BNpcName,ClassJob,byte
0,"","adventurer",0
1,"Alphinaud","summoner",0
2,"Y'shtola","conjurer",1
3,"Hien","samurai",0
4,"Thancred","gunbreaker",0
5,"Nyelbert","black mage",0
6,"Lamitt","white mage",1
7,"Branden","paladin",0
8,"Renda-Rae","bard",1
9,"Estinien Wyrmblood","dragoon",0
10,"Estinien Wyrmblood","dragoon",0
11,"G-Warrior","adventurer",0
12,"Alisaie","red mage",1
13,"Urianger","astrologian",0
14,"G'raha Tia","black mage",0
15,"unknown imperial","gladiator",0
16,"Alphinaud","sage",0
17,"Alisaie","red mage",1
18,"Thancred","gunbreaker",0
19,"","gladiator",0
20,"Zero","reaper",1
