key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
#,Number,CraftType,RecipeLevelTable,Item{Result},Amount{Result},Item{Ingredient}[0],Amount{Ingredient}[0],Item{Ingredient}[1],Amount{Ingredient}[1],Item{Ingredient}[2],Amount{Ingredient}[2],Item{Ingredient}[3],Amount{Ingredient}[3],Item{Ingredient}[4],Amount{Ingredient}[4],Item{Ingredient}[5],Amount{Ingredient}[5],Item{Ingredient}[6],Amount{Ingredient}[6],Item{Ingredient}[7],Amount{Ingredient}[7],RecipeNotebookList,DisplayPriority,IsSecondary,MaterialQualityFactor,DifficultyFactor,QualityFactor,DurabilityFactor,RequiredQuality,RequiredCraftsmanship,RequiredControl,QuickSynthCraftsmanship,QuickSynthControl,SecretRecipeBook,Quest,CanQuickSynth,CanHq,ExpRewarded,Status{Required},Item{Required},IsSpecializationRequired,IsExpert,,,PatchNumber,,
int32,int32,CraftType,RecipeLevelTable,Item,int32,Item,int32,Item,int32,Item,int32,Item,int32,Item,int32,Item,int32,Item,int32,Item,int32,RecipeNotebookList,uint16,uint16,bit&01,byte,uint16,uint16,uint16,uint32,uint16,uint16,uint16,SecretRecipeBook,Quest,uint32,bit&02,bit&04,Status,Item,int32,int32,bit&20,bit&40,byte,uint16,uint16
0,0,"Woodworking","RecipeLevelTable#0","",0,"Gil",0,"",0,"",0,"",0,"",0,"",0,"",-1,"",-1,"RecipeNotebookList#0",0,0,False,50,100,100,100,0,0,0,0,"",,0,True,True,"Petrification","",0,0,False,False,0,65535,0
1,1,"Smithing","RecipeLevelTable#1","",5056,"Gil",5106,"Fire Shard",5107,"Gil",0,"",0,"",0,"",0,"",2,"Gil",-1,"RecipeNotebookList#0",0,0,False,0,50,80,67,0,0,0,0,"",,0,True,True,"Petrification","",0,0,False,False,0,65535,0
2,3,"Smithing","RecipeLevelTable#1","",2546,"Gil",5056,"Gil",5361,"Gil",0,"",0,"",0,"",0,"",2,"Gil",5,"RecipeNotebookList#1",0,0,True,50,100,100,100,0,0,0,0,"",,0,True,True,"Petrification","",0,0,False,False,0,65535,0
3,3,"Smithing","RecipeLevelTable#2","",1602,"Gil",5056,"Gil",5361,"Gil",5432,"Gil",0,"",0,"",0,"",2,"Gil",5,"RecipeNotebookList#1",0,0,True,50,100,100,100,0,0,0,0,"",,0,True,True,"Petrification","",0,0,False,False,0,65535,0
4,3,"Smithing","RecipeLevelTable#2","",2355,"Gil",5056,"Fire Shard",5275,"Gil",0,"",0,"",0,"",0,"",2,"Gil",5,"RecipeNotebookList#1",0,0,True,50,100,100,100,0,0,0,0,"",,0,True,True,"Petrification","",0,0,False,False,0,65535,0
5,1,"Smithing","RecipeLevelTable#3","",5091,"Gil",5056,"Gil",0,"",0,"",0,"",0,"",0,"",2,"Gil",-1,"RecipeNotebookList#0",0,0,False,50,50,80,67,0,0,0,0,"",,0,True,True,"Petrification","",0,0,False,False,0,65535,0
6,3,"Smithing","RecipeLevelTable#3","",1750,"Gil",5056,"Fire Shard",5361,"Gil",0,"",0,"",0,"",0,"",2,"Gil",5,"RecipeNotebookList#1",0,0,True,50,100,100,100,0,0,0,0,"",,0,True,True,"Petrification","",0,0,False,False,0,65535,0
7,3,"Smithing","RecipeLevelTable#3","",2380,"Gil",5056,"Gil",5091,"Gil",5482,"Gil",0,"",0,"",0,"",2,"Gil",5,"RecipeNotebookList#1",0,0,True,50,100,100,100,0,0,0,0,"",,0,True,True,"Petrification","",0,0,False,False,0,65535,0
8,3,"Smithing","RecipeLevelTable#4","",2430,"Gil",5056,"Gil",5361,"Gil",5482,"Gil",0,"",0,"",0,"",2,"Gil",5,"RecipeNotebookList#1",0,0,True,50,100,100,100,0,0,0,0,"",,0,True,True,"Petrification","",0,0,False,False,0,65535,0
9,3,"Smithing","RecipeLevelTable#4","",2315,"Gil",5056,"Gil",5091,"Gil",5361,"Gil",0,"",0,"",0,"",2,"Gil",5,"RecipeNotebookList#1",0,0,True,50,100,100,100,0,0,0,0,"",,0,True,True,"Petrification","",0,0,False,False,0,65535,0
10,3,"Smithing","RecipeLevelTable#5","",2328,"Gil",5056,"Gil",5361,"Gil",5482,"Gil",0,"",0,"",0,"",2,"Gil",5,"RecipeNotebookList#1",0,0,True,50,100,100,100,0,0,0,0,"",,0,True,True,"Petrification","",0,0,False,False,0,65535,0
11,3,"Smithing","RecipeLevelTable#5","",2341,"Gil",5056,"Gil",5324,"Gil",5361,"Gil",0,"",0,"",0,"",2,"Gil",5,"RecipeNotebookList#1",0,0,True,50,100,100,100,0,0,0,0,"",,0,True,True,"Petrification","",0,0,False,False,0,65535,0
12,3,"Smithing","RecipeLevelTable#5","",2367,"Gil",5056,"Gil",5361,"Gil",0,"",0,"",0,"",0,"",2,"Gil",5,"RecipeNotebookList#1",0,0,True,50,100,100,100,0,0,0,0,"",,0,True,True,"Petrification","",0,0,False,False,0,65535,0
13,3,"Smithing","RecipeLevelTable#6","",2507,"Gil",5056,"Gil",5361,"Gil",5258,"Gil",0,"",0,"",0,"",2,"Gil",5,"RecipeNotebookList#1",0,0,True,50,100,100,100,0,0,0,0,"",,0,True,True,"Petrification","",0,0,False,False,0,65535,0
