key,0,1,2,3,4,5,6,7
#,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL
int32,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe
1602,"Diadochos Sword","Bronze Bastard Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword"
1603,"Diadochos Sword","Viking Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword"
1604,"Ash Macuahuitl","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword"
1605,"Diadochos Sword","Bronze Spatha","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword"
1607,"Diadochos Sword","Brass Bastard Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword"
1609,"Diadochos Sword","Brass Viking Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword"
1611,"Diadochos Sword","Carnage Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword"
1614,"Diadochos Sword","Iron Shortsword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword"
1622,"Diadochos Sword","Iron Spatha","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword"
1625,"Diadochos Sword","Steel Broadsword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword"
1627,"Elm Macuahuitl","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword"
1633,"Diadochos Sword","Steel Falchion","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword"
1635,"Diadochos Sword","Vintage Bastard Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword","Diadochos Sword"
