key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,Item{Atma},Item{Animus},Icon,Materia[0],NoteMain[0],NoteSub[0],NoteSelection{1}[0],Materia[1],NoteMain[1],NoteSub[1],NoteSelection[1],Materia[2],NoteMain[2],NoteSub[2],Materia[3],NoteSelection[3]
int32,Item,Item,Image,Materia,RelicNote,RelicNote,RelicNote,Materia,RelicNote,RelicNote,RelicNote,Materia,RelicNote,RelicNote,Materia,RelicNote
0,"Diadochos Sword","Diadochos Sword",,"Diadochos Sword","RelicNote#0","RelicNote#0","RelicNote#0","Diadochos Sword","RelicNote#0","RelicNote#0","RelicNote#0","Diadochos Sword","RelicNote#0","RelicNote#0","Diadochos Sword","RelicNote#0"
1,"Curtana Atma","Curtana Animus","ui/icon/080000/080152.tex","Diadochos Sword","RelicNote#1","RelicNote#2","RelicNote#0","Diadochos Sword","RelicNote#4","RelicNote#5","RelicNote#0","Diadochos Sword","RelicNote#7","RelicNote#8","Diadochos Sword","RelicNote#9"
2,"Sphairai Atma","Sphairai Animus","ui/icon/080000/080153.tex","Diadochos Sword","RelicNote#1","RelicNote#2","RelicNote#3","Diadochos Sword","RelicNote#4","RelicNote#5","RelicNote#6","Diadochos Sword","RelicNote#7","RelicNote#8","Diadochos Sword","RelicNote#9"
3,"Bravura Atma","Bravura Animus","ui/icon/080000/080154.tex","Diadochos Sword","RelicNote#1","RelicNote#2","RelicNote#3","Diadochos Sword","RelicNote#4","RelicNote#5","RelicNote#6","Diadochos Sword","RelicNote#7","RelicNote#8","Diadochos Sword","RelicNote#9"
4,"Gae Bolg Atma","Gae Bolg Animus","ui/icon/080000/080155.tex","Diadochos Sword","RelicNote#1","RelicNote#2","RelicNote#3","Diadochos Sword","RelicNote#4","RelicNote#5","RelicNote#6","Diadochos Sword","RelicNote#7","RelicNote#8","Diadochos Sword","RelicNote#9"
5,"Artemis Bow Atma","Artemis Bow Animus","ui/icon/080000/080156.tex","Diadochos Sword","RelicNote#1","RelicNote#2","RelicNote#3","Diadochos Sword","RelicNote#4","RelicNote#5","RelicNote#6","Diadochos Sword","RelicNote#7","RelicNote#8","Diadochos Sword","RelicNote#9"
6,"Thyrus Atma","Thyrus Animus","ui/icon/080000/080157.tex","Diadochos Sword","RelicNote#1","RelicNote#2","RelicNote#3","Diadochos Sword","RelicNote#4","RelicNote#5","RelicNote#6","Diadochos Sword","RelicNote#7","RelicNote#8","Diadochos Sword","RelicNote#9"
7,"Stardust Rod Atma","Stardust Rod Animus","ui/icon/080000/080158.tex","Diadochos Sword","RelicNote#1","RelicNote#2","RelicNote#3","Diadochos Sword","RelicNote#4","RelicNote#5","RelicNote#6","Diadochos Sword","RelicNote#7","RelicNote#8","Diadochos Sword","RelicNote#9"
8,"The Veil of Wiyu Atma","The Veil of Wiyu Animus","ui/icon/080000/080159.tex","Diadochos Sword","RelicNote#1","RelicNote#2","RelicNote#3","Diadochos Sword","RelicNote#4","RelicNote#5","RelicNote#6","Diadochos Sword","RelicNote#7","RelicNote#8","Diadochos Sword","RelicNote#9"
9,"Omnilex Atma","Omnilex Animus","ui/icon/080000/080160.tex","Diadochos Sword","RelicNote#1","RelicNote#2","RelicNote#3","Diadochos Sword","RelicNote#4","RelicNote#5","RelicNote#6","Diadochos Sword","RelicNote#7","RelicNote#8","Diadochos Sword","RelicNote#9"
10,"Holy Shield Atma","Holy Shield Animus","ui/icon/080000/080151.tex","Diadochos Sword","RelicNote#3","RelicNote#0","RelicNote#0","Diadochos Sword","RelicNote#6","RelicNote#0","RelicNote#0","Diadochos Sword","RelicNote#0","RelicNote#0","Diadochos Sword","RelicNote#0"
11,"Yoshimitsu Atma","Yoshimitsu Animus","ui/icon/080000/080161.tex","Diadochos Sword","RelicNote#1","RelicNote#2","RelicNote#3","Diadochos Sword","RelicNote#4","RelicNote#5","RelicNote#6","Diadochos Sword","RelicNote#7","RelicNote#8","Diadochos Sword","RelicNote#9"
