key,0,1,2,3,4,5,6,7
#,Item,Quantity[0],Quantity[1],Quantity[2],Quantity[3],Quantity[4],GatheringLog,FishingLog
int32,Item,byte,byte,byte,byte,byte,GatheringItem,Row
0,"Diadochos Sword",0,0,0,0,0,"Diadochos Sword","Diadochos Sword"
1,"Animal Skin",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
2,"Animal Sinew",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
3,"Shriekshroom",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
4,"Honey",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
5,"Ram Horn",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
6,"Beastkin Blood",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
7,"Marmot Meat",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
8,"Animal Hide",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
9,"Mutton Loin",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
10,"Bat Fang",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
11,"Red Landtrap Leaf",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
12,"Beast Sinew",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
13,"Dodo Tenderloin",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
14,"Jellyfish Cnida",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
15,"Mole Meat",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
16,"Puk Wing",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
17,"Viscous Secretions",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
18,"Dodo Egg",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
19,"Bat Wing",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
20,"Antelope Horn",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
21,"Goobbue Fang",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
22,"Yellow Yarzon Leg",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
23,"Imp Wing",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
24,"Jellyfish Umbrella",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
25,"Aldgoat Skin",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
26,"Dodo Feather",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
27,"Green Megalocrab Shell",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
28,"Antelope Shank",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
29,"Megalocrab Leg",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
30,"Acidic Secretions",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
31,"Diremite Web",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
32,"Aldgoat Horn",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
33,"Scalekin Blood",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
34,"Wolf Fang",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
35,"Treant Sap",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
36,"Aldgoat Chuck",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
37,"Diremite Sinew",5,7,10,12,15,"Diadochos Sword","Diadochos Sword"
