key,0,1,2,3
#,SatisfactionLevel,SatisfactionNpc,Quest,
int32,byte,SatisfactionNpc,Quest,byte
0.0,0,"Kurenai",,0
1.0,4,"Ehll Tou","He Ain't Piggy, He's My Brother",1
1.1,4,"Kurenai","He Ain't Piggy, He's My Brother",1
1.2,4,"Kurenai","He Ain't Piggy, He's My Brother",2
1.3,4,"Charlemend","He Ain't Piggy, He's My Brother",3
2.0,4,"Ehll Tou","Commercially Flyable",1
2.1,4,"Kurenai","Commercially Flyable",2
2.2,4,"Charlemend","Commercially Flyable",3
3.0,5,"Ehll Tou","An Ode to Unity",0
3.1,5,"Kurenai","An Ode to Unity",3
4.0,5,"Ehll Tou","An Ode to Unity",0
4.1,5,"Kurenai","An Ode to Unity",1
4.2,5,"Kurenai","An Ode to Unity",3
5.0,4,"Ehll Tou","Those Who Serve",1
5.1,4,"Kurenai","Those Who Serve",1
5.2,4,"Kurenai","Those Who Serve",2
5.3,4,"Charlemend","Those Who Serve",3
6.0,4,"Ehll Tou","A Mother's Love",0
6.1,4,"Charlemend","A Mother's Love",3
7.0,4,"Ehll Tou","A Mother's Love",0
7.1,4,"Kurenai","A Mother's Love",1
7.2,4,"Charlemend","A Mother's Love",3
8.0,5,"Ehll Tou","Every Anden of the Rainbow",0
8.1,5,"Kurenai","Every Anden of the Rainbow",3
9.0,5,"Ehll Tou","Every Anden of the Rainbow",0
9.1,5,"Kurenai","Every Anden of the Rainbow",1
9.2,5,"Kurenai","Every Anden of the Rainbow",3
10.0,5,"Ehll Tou","The Pride of Labyrinthos",0
10.1,5,"Kurenai","The Pride of Labyrinthos",3
11.0,5,"Ehll Tou","The Pride of Labyrinthos",0
11.1,5,"Kurenai","The Pride of Labyrinthos",1
11.2,5,"Kurenai","The Pride of Labyrinthos",3
12.0,5,"Ehll Tou","The Weight of a Train",0
12.1,5,"Kurenai","The Weight of a Train",3
13.0,5,"Ehll Tou","The Weight of a Train",0
13.1,5,"Kurenai","The Weight of a Train",1
13.2,5,"Kurenai","The Weight of a Train",3
