key,0,1
#,Item{1},Item{2}
int32,Item,Item
0,"Terebinth","Diadochos Sword"
1,"Snow White Dye","Diadochos Sword"
2,"Ash Grey Dye","Diadochos Sword"
3,"Goobbue Grey Dye","Diadochos Sword"
4,"Slate Grey Dye","Diadochos Sword"
5,"Charcoal Grey Dye","Diadochos Sword"
6,"Soot Black Dye","Diadochos Sword"
7,"Rose Pink Dye","Diadochos Sword"
8,"Lilac Purple Dye","Diadochos Sword"
9,"Rolanberry Red Dye","Diadochos Sword"
10,"Dalamud Red Dye","Diadochos Sword"
11,"Rust Red Dye","Diadochos Sword"
12,"Wine Red Dye","Diadochos Sword"
13,"Coral Pink Dye","Diadochos Sword"
14,"Blood Red Dye","Diadochos Sword"
15,"Salmon Pink Dye","Diadochos Sword"
16,"Sunset Orange Dye","Diadochos Sword"
17,"Mesa Red Dye","Diadochos Sword"
18,"Bark Brown Dye","Diadochos Sword"
19,"Chocolate Brown Dye","Diadochos Sword"
20,"Russet Brown Dye","Diadochos Sword"
21,"Kobold Brown Dye","Diadochos Sword"
22,"Cork Brown Dye","Diadochos Sword"
23,"Qiqirn Brown Dye","Diadochos Sword"
24,"Opo-opo Brown Dye","Diadochos Sword"
25,"Aldgoat Brown Dye","Diadochos Sword"
26,"Pumpkin Orange Dye","Diadochos Sword"
27,"Acorn Brown Dye","Diadochos Sword"
28,"Orchard Brown Dye","Diadochos Sword"
29,"Chestnut Brown Dye","Diadochos Sword"
30,"Gobbiebag Brown Dye","Diadochos Sword"
31,"Shale Brown Dye","Diadochos Sword"
32,"Mole Brown Dye","Diadochos Sword"
33,"Loam Brown Dye","Diadochos Sword"
34,"Bone White Dye","Diadochos Sword"
35,"Ul Brown Dye","Diadochos Sword"
36,"Desert Yellow Dye","Diadochos Sword"
37,"Honey Yellow Dye","Diadochos Sword"
38,"Millioncorn Yellow Dye","Diadochos Sword"
39,"Coeurl Yellow Dye","Diadochos Sword"
40,"Cream Yellow Dye","Diadochos Sword"
41,"Halatali Yellow Dye","Diadochos Sword"
42,"Raisin Brown Dye","Diadochos Sword"
43,"Mud Green Dye","Diadochos Sword"
44,"Sylph Green Dye","Diadochos Sword"
45,"Lime Green Dye","Diadochos Sword"
46,"Moss Green Dye","Diadochos Sword"
47,"Meadow Green Dye","Diadochos Sword"
48,"Olive Green Dye","Diadochos Sword"
