key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Name,,,,Shop[0],Shop[1],Shop[2],Shop[3],Shop[4],Shop[5],Shop[6],Shop[7],Shop[8],Shop[9]
int32,str,bit&01,byte,uint16,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row
3276800,"",False,0,0,,,,,,,,,,
3276801,"",False,0,0,,,,,,,,,,
3276802,"Purchase Gordian Items",False,0,0,"Gordian Part Exchange (DoW) I","Gordian Part Exchange (DoW) II","Gordian Part Exchange (DoM)","Gordian Manifesto Exchange (DoW) I","Gordian Manifesto Exchange (DoW) II","Gordian Manifesto Exchange (DoM)","Precision Gordian Part Exchange",,,
3276803,"Purchase Midan Items",False,0,0,"Midan Part Exchange (DoW) I","Midan Part Exchange (DoW) II","Midan Part Exchange (DoM)","Midan Manifesto Exchange (DoW) I","Midan Manifesto Exchange (DoW) II","Midan Manifesto Exchange (DoM)",,,,
3276804,"Aloalo Island Artifact Exchange",False,0,0,"Aloalo Potsherd Exchange","Aloalo Coin Exchange","Aloalo Manuscript Exchange",,,,,,,
3276805,"",False,0,0,"Tradecraft Keep Tool Augmentation","Tradecraft Keep Gear Augmentation","Fieldcraft Keep Tool Augmentation","Fieldcraft Keep Gear Augmentation",,,,,,
3276806,"Purchase Alexandrian Items",False,0,0,"Alexandrian Part Exchange (DoW) I","Alexandrian Part Exchange (DoW) II","Alexandrian Part Exchange (DoM)","Alexandrian Manifesto Exchange (DoW) I","Alexandrian Manifesto Exchange (DoW) II","Alexandrian Manifesto Exchange (DoM)",,,,
3276807,"",False,0,0,,,,,,,,,,
3276808,"",False,0,0,,,,,,,,,,
3276809,"",False,0,0,,,,,,,,,,
3276810,"Purchase Artifact Gear",False,0,0,"Artifact Gear Exchange (DoW) I","Artifact Gear Exchange (DoW) II","Artifact Gear Exchange (DoM)",,,,,,,
3276811,"Purchase Doman Gear",False,0,0,"Centurio Seal Exchange (Doman Gear) I","Centurio Seal Exchange (Doman Gear) II",,,,,,,,
3276812,"Improve Shire Gear",True,0,0,"Shire Gear Augmentation (DoW) I.","Shire Gear Augmentation (DoW) II.","Shire Gear Augmentation (DoM).",,,,,,,
3276813,"",False,0,0,"Tradecraft Keep Tool Augmentation","Tradecraft Keep Gear Augmentation","Handmaster Accessory Augmentation","Fieldcraft Keep Tool Augmentation","Fieldcraft Keep Gear Augmentation","Landmaster Accessory Augmentation","DoH Materia Exchange","DoL Materia Exchange",,
3276814,"",False,0,0,"Tradecraft Keep Tool Augmentation","Tradecraft Keep Gear Augmentation","Fieldcraft Keep Tool Augmentation","Fieldcraft Keep Gear Augmentation",,,,,,
3276815,"Purchase Garo Gear (DoW I)",False,0,0,"Repurchase Paladin Gear","Repurchase Warrior Gear","Repurchase Dark Knight Gear","Repurchase Gunbreaker Gear","Repurchase Monk Gear","Repurchase Samurai Gear","Repurchase Dragoon Gear","Repurchase Reaper Gear",,
3276816,"Purchase Garo Gear (DoM)",False,0,0,"Repurchase Black Mage Gear","Repurchase Summoner Gear","Repurchase Red Mage Gear","Repurchase White Mage Gear","Repurchase Scholar Gear","Repurchase Astrologian Gear","Repurchase Sage Gear",,,
3276817,"",False,0,0,,,,,,,,,,
3276818,"",False,0,0,,,,,,,,,,
3276819,"",False,0,0,,,,,,,,,,
