key,0,1,2,3,4,5,6,7,8,9,10,11
#,,,,,Exp,Gil,Reward{Tank},Reward{Melee},Reward{Ranged},Objective,,
int32,byte,byte,byte,byte,byte,uint32,Item,Item,Item,InstanceContentTextData,uint32,uint32
0,0,0,0,0,0,0,"","","","",0,0
1,1,0,1,0,0,1440,"Dated Walnut Wand of Flames","Brand-new Gauntlets","Brand-new Gloves",,0,10539
2,1,1,2,3,4,1440,"Dated Walnut Wand of Flames","","","",0,10710
3,1,1,5,5,5,1440,"Dated Walnut Wand of Flames","Brand-new Sabatons","","",0,10804
4,1,1,6,7,8,1440,"Dated Walnut Wand of Flames","","","",0,11010
5,1,1,9,10,11,1440,"Dated Walnut Wand of Flames","Brand-new Trousers","","",0,11105
6,1,1,12,13,14,1440,"Dated Walnut Wand of Flames","","","",0,10907
7,1,1,15,15,15,1440,"Dated Walnut Wand of Flames","Brand-new Cuirass","","",0,11204
8,1,2,16,0,0,1440,"Dated Walnut Wand of Flames","","Brand-new Boots",,0,11303
9,1,2,17,0,0,1440,"Dated Walnut Wand of Flames","","","",0,11403
10,1,2,18,0,0,1440,"Dated Walnut Wand of Flames","","Brand-new Skirt",,0,11504
11,1,2,19,0,0,1440,"Dated Walnut Wand of Flames","","","",0,11606
12,1,2,20,0,0,1440,"Dated Walnut Wand of Flames","","Brand-new Tabard",,0,11704
13,1,3,21,0,0,1440,"Dated Walnut Wand of Flames","","",,0,11804
14,1,3,22,0,0,1440,"Dated Walnut Wand of Flames","","",,0,11904
15,1,3,23,0,0,1440,"Dated Walnut Wand of Flames","","",,0,12008
16,1,0,24,0,0,2320,"Dated Brass Head Knife","Brand-new Ring","Brand-new Ring",,0,0
17,2,0,25,0,0,10440,"Dated Sheepskin Calot (Taupe)","","","",0,0
18,2,0,26,0,0,10440,"Dated Sheepskin Calot (Taupe)","","","",0,0
19,2,0,27,0,0,10440,"Dated Sheepskin Calot (Taupe)","","","",44410,0
