key,0
#,Action
int32,Action
0.0,""
1.0,"Variant Cure"
1.1,"Variant Cure"
1.2,"Variant Cure"
1.3,""
2.0,"Variant Ultimatum"
2.1,"Variant Ultimatum"
2.2,"Variant Ultimatum"
2.3,"Variant Ultimatum"
3.0,"Variant Raise"
3.1,"Variant Raise"
3.2,"Variant Raise"
3.3,"Variant Raise"
4.0,"Variant Spirit Dart"
4.1,"Variant Spirit Dart"
4.2,"Variant Spirit Dart"
4.3,""
5.0,"Variant Rampart"
5.1,"Variant Rampart"
5.2,"Variant Rampart"
5.3,""
6.0,"Variant Eagle Eye Shot"
6.1,"Variant Eagle Eye Shot"
6.2,"Variant Eagle Eye Shot"
6.3,"Variant Eagle Eye Shot"
