key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
#,,WarpName,CanSkipCutscene,Function[0],Function[1],Function[2],Function[3],Function[4],Function[5],Function[6],Function[7],Function[8],Function[9],Argument[0],Argument[1],Argument[2],Argument[3],Argument[4],Argument[5],Argument[6],Argument[7],Argument[8],Argument[9],Question,Response{Yes},Response{No}
int32,uint32,str,bit&01,str,str,str,str,str,str,str,str,str,str,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,str,str,str
0,0,"",False,"","","","","","","","","","","","","","","","","","","","","","",""
1,0,"",False,"","","","","","","","","","","","","","","","","","","","","","Yes","No"
2,0,"WarpRentalChocobo",True,"HOWTO_ABOUT_RENTAL_CHOCOBO","","","","","","","","","","Rental Chocobos","","","","","","","","","","Rent a Chocobo","",""
3,0,"WarpInnLimsaLominsa",True,"","","","","","","","","","","","","","","","","","","","","","",""
4,0,"WarpInnGridania",True,"","","","","","","","","","","","","","","","","","","","","","",""
5,0,"WarpInnUldah",True,"","","","","","","","","","","","","","","","","","","","","","",""
6,0,"WarpHousingEnterHouse",True,"","","","","","","","","","","","","","","","","","","","","","Yes","No"
7,0,"WarpHousingExitHouse",True,"","","","","","","","","","","","","","","","","","","","","","Yes","No"
8,0,"WarpWeddingPlaceDesk",False,"QUEST_WEDDING","ITEM_CHILD_TICKET","","","","","","","","","The Ties That Bind","Ceremony Invitation","","","","","","","","","","Yes","No"
9,0,"WarpInnIshgard",True,"","","","","","","","","","","","","","","","","","","","","","",""
10,0,"WarpInnKugane",True,"","","","","","","","","","","","","","","","","","","","","","",""
11,0,"WarpInnCrystarium",True,"QST_LUCKMA401","QST_LUCKME114","QST_LUCKMF111","QST_SEQ_11","QST_SEQ_FINISH","QST_LUCKMI111","","","","","The Lightwardens","Extinguishing the Last Light","Shadowbringers","Collecting Rewards","Viewing Recorded Duties","Unto the Morrow","","","","","","",""
12,0,"WarpSystemEnterTerritory",False,"","","","","","","","","","","","","","","","","","","","","","",""
13,0,"WarpInnOldSharlayan",True,"","","","","","","","","","","","","","","","","","","","","","",""
14,0,"WarpSEElpis",False,"","","","","","","","","","","","","","","","","","","","","","Yes","No"
15,0,"WarpSEUltimaThule",False,"","","","","","","","","","","","","","","","","","","","","","Yes","No"
16,0,"WarpInnTuliyollal",False,"QST_SEQ_1","QST_SEQ_FINISH","QST_KINGMD108","QST_KINGME111","QST_KINGMF114","QST_SEQ_2","QST_KINGMB104","","","","Basic Controls","Viewing Recorded Duties","And the Land Would Tremble","The Protector and the Destroyer","Dawntrail","Initiating Quests","A Father First","","","","","",""
